Country,Province,District,a,b,c,vita,worm
Sierra Leone,Northern,Bombali,4,6,30,5,4
Sierra Leone,Northern,Koinadugu,0,6,32,6,6
Sierra Leone,Northern,Kambia,0,0,28,5,3
Sierra Leone,Northern,Port Loko,2,0,30,5,3
Sierra Leone,Northern,Tonkolili,1,5,28,5,1
Sierra Leone,Eastern,Kono,2,3,16,5,5
Sierra Leone,Eastern,Kailahun,4,3,34,4,1
Sierra Leone,Eastern,Kenema,8,4,34,4,1
Sierra Leone,Southern,Pujehun,6,1,27,4,2
Sierra Leone,Southern,Bo,6,8,22,6,6
Sierra Leone,Southern,Bonthe,7,2,41,6,6
Sierra Leone,Southern,Moyamba,6,0,40,3,2
Sierra Leone,Western Area,Western Area Rural,6,5,46,6,6
Sierra Leone,Western Area,Western Area Urban,2,0,20,6,6
